State,County,Tract,BLKGRP,Geography,PopTotal,White,Black,Hispanic,Indian,Asian,NativeAmerican,Other,Mixed,Households,Unoccupied,Occupied,Vacant,MHI,Affected,Children,Seniors,Count_Af_1,Shape_Leng,Shape_Area
48,157,670101,1,"Block Group 1, Census Tract 6701.01, Fort Bend County, Texas",1092,54,248,780,0,0,0,0,10,285,311,285,26,47321,40,142,112,39,11380.09105,4257484.044
48,157,670101,2,"Block Group 2, Census Tract 6701.01, Fort Bend County, Texas",1821,0,577,1244,0,0,0,0,0,466,517,466,51,39196,79,87,129,79,12471.49033,6885015.936
48,157,670101,3,"Block Group 3, Census Tract 6701.01, Fort Bend County, Texas",2974,34,1676,1196,0,0,0,0,68,790,912,790,122,49474,230,277,203,224,22028.62664,21708600.68
48,157,670101,4,"Block Group 4, Census Tract 6701.01, Fort Bend County, Texas",1495,89,82,1324,0,0,0,0,0,322,333,322,11,32619,46,69,146,46,7731.396743,3148186.524
48,157,670102,1,"Block Group 1, Census Tract 6701.02, Fort Bend County, Texas",2251,7,1120,1118,0,6,0,0,0,716,781,716,65,43026,154,152,108,151,11680.48543,8460550.249
48,157,670102,2,"Block Group 2, Census Tract 6701.02, Fort Bend County, Texas",1013,37,753,215,0,8,0,0,0,351,351,351,0,71595,94,38,70,94,8782.144703,4652107.154
48,157,670200,2,"Block Group 2, Census Tract 6702, Fort Bend County, Texas",1084,117,233,734,0,0,0,0,0,429,429,429,0,42111,115,50,146,115,10329.65165,4539383.565
48,157,670200,3,"Block Group 3, Census Tract 6702, Fort Bend County, Texas",1388,122,498,768,0,0,0,0,0,417,455,417,38,37566,109,149,54,109,8891.774594,4725680.013
48,157,670200,4,"Block Group 4, Census Tract 6702, Fort Bend County, Texas",2796,0,1747,1049,0,0,0,0,0,739,739,739,0,54250,121,187,154,121,14369.00414,9170927.317
48,157,670200,5,"Block Group 5, Census Tract 6702, Fort Bend County, Texas",2235,0,1660,575,0,0,0,0,0,776,776,776,0,55235,101,73,179,101,15103.49435,13949526.58
48,157,670300,1,"Block Group 1, Census Tract 6703, Fort Bend County, Texas",1742,47,1050,531,0,70,0,0,44,605,649,605,44,50250,56,63,231,55,14251.12897,11487147.5
48,157,670300,2,"Block Group 2, Census Tract 6703, Fort Bend County, Texas",2013,48,1477,484,0,0,0,0,4,590,637,590,47,60833,84,188,244,84,21282.37722,20750154.15
48,157,670400,1,"Block Group 1, Census Tract 6704, Fort Bend County, Texas",1554,9,1446,99,0,0,0,0,0,559,593,559,34,62832,29,135,120,29,14161.49533,11489057.76
48,157,670400,2,"Block Group 2, Census Tract 6704, Fort Bend County, Texas",1266,164,833,269,0,0,0,0,0,437,491,437,54,54875,40,30,171,40,10813.02185,6660212.155
48,157,670400,3,"Block Group 3, Census Tract 6704, Fort Bend County, Texas",2439,142,1751,466,0,0,0,19,61,719,769,719,50,48264,67,166,189,66,14971.10605,10295596.91
48,157,670500,1,"Block Group 1, Census Tract 6705, Fort Bend County, Texas",1163,31,899,198,0,17,0,0,18,357,357,357,0,46307,0,85,98,0,12150.1045,5371813.361
48,157,670500,2,"Block Group 2, Census Tract 6705, Fort Bend County, Texas",3050,263,1866,663,0,230,0,11,17,1146,1214,1146,68,58295,5,143,261,5,38640.01218,53797015.89
48,157,670601,1,"Block Group 1, Census Tract 6706.01, Fort Bend County, Texas",1991,11,1481,325,0,113,0,0,61,625,669,625,44,66913,40,77,176,40,17040.87824,14996600.83
48,157,670601,2,"Block Group 2, Census Tract 6706.01, Fort Bend County, Texas",1194,188,935,71,0,0,0,0,0,448,475,448,27,72955,0,62,123,0,11427.41977,7404228.599
48,157,670601,3,"Block Group 3, Census Tract 6706.01, Fort Bend County, Texas",3404,52,2923,369,0,4,0,0,56,1062,1082,1062,20,61900,35,313,390,35,18353.40359,13475151.6
48,157,670601,4,"Block Group 4, Census Tract 6706.01, Fort Bend County, Texas",2841,156,2180,460,0,0,0,0,45,868,868,868,0,75833,0,36,142,0,14964.03066,13130576.76
48,157,670602,1,"Block Group 1, Census Tract 6706.02, Fort Bend County, Texas",1763,45,1221,484,0,13,0,0,0,599,671,599,72,41361,31,148,125,31,21857.93076,28683389.81
48,157,670700,1,"Block Group 1, Census Tract 6707, Fort Bend County, Texas",1781,117,1284,266,0,27,0,0,87,624,679,624,55,62500,135,83,183,135,78927.96026,220908603.9
48,157,670700,2,"Block Group 2, Census Tract 6707, Fort Bend County, Texas",2815,319,1010,538,0,838,0,21,89,833,852,833,19,130792,0,323,309,0,55067.00226,97169065.04
48,157,670800,1,"Block Group 1, Census Tract 6708, Fort Bend County, Texas",5233,300,3086,1583,0,0,0,0,264,1433,1576,1433,143,64347,0,403,204,0,25430.64167,33577773.69
48,157,670800,2,"Block Group 2, Census Tract 6708, Fort Bend County, Texas",2261,118,275,1868,0,0,0,0,0,636,744,636,108,37273,0,141,132,0,32354.70006,53845638.09
48,157,670800,3,"Block Group 3, Census Tract 6708, Fort Bend County, Texas",9058,114,6976,1873,0,24,0,0,71,2304,2304,2304,0,75156,0,370,300,0,48594.59446,70792185.04
48,157,670901,1,"Block Group 1, Census Tract 6709.01, Fort Bend County, Texas",3451,969,1050,253,0,1089,0,0,90,1120,1120,1120,0,146121,0,70,332,0,24177.58045,27987711.78
48,157,670901,2,"Block Group 2, Census Tract 6709.01, Fort Bend County, Texas",5669,552,3108,491,0,1273,108,0,137,1625,1693,1625,68,110689,0,320,463,0,46076.57658,92022437.9
48,157,670901,3,"Block Group 3, Census Tract 6709.01, Fort Bend County, Texas",3083,1198,959,407,0,472,0,0,47,880,880,880,0,106744,0,23,368,0,27973.31273,27198354.59
48,157,670902,1,"Block Group 1, Census Tract 6709.02, Fort Bend County, Texas",4235,90,3344,604,0,82,0,0,115,1373,1415,1373,42,68589,0,352,85,0,46766.82336,75235562.48
48,157,671001,1,"Block Group 1, Census Tract 6710.01, Fort Bend County, Texas",1524,865,443,81,61,34,18,0,22,636,636,636,0,81900,0,82,473,0,20542.33235,19494697.7
48,157,671001,2,"Block Group 2, Census Tract 6710.01, Fort Bend County, Texas",1372,911,197,137,0,13,0,0,114,658,658,658,0,86613,0,34,432,0,19470.20106,15376591.92
48,157,671001,3,"Block Group 3, Census Tract 6710.01, Fort Bend County, Texas",1656,792,548,252,31,0,0,0,33,726,783,726,57,82770,0,81,285,0,15573.69833,9177257.391
48,157,671001,4,"Block Group 4, Census Tract 6710.01, Fort Bend County, Texas",768,365,148,178,0,18,0,41,18,312,312,312,0,73350,0,39,168,0,15343.39015,9620732.628
48,157,671002,1,"Block Group 1, Census Tract 6710.02, Fort Bend County, Texas",1185,296,536,336,0,0,0,17,0,470,470,470,0,61071,0,11,134,0,18726.2253,12568121.05
48,157,671002,2,"Block Group 2, Census Tract 6710.02, Fort Bend County, Texas",2370,655,1001,714,0,0,0,0,0,732,775,732,43,77700,0,155,522,0,16378.37397,12822683.86
48,157,671002,3,"Block Group 3, Census Tract 6710.02, Fort Bend County, Texas",2027,650,675,489,0,12,0,0,201,656,656,656,0,61983,0,0,185,0,13306.37765,7319184.866
48,157,671002,4,"Block Group 4, Census Tract 6710.02, Fort Bend County, Texas",1237,519,673,0,0,36,0,0,9,470,470,470,0,76563,0,63,306,0,16323.30973,8799091.193
48,157,671100,1,"Block Group 1, Census Tract 6711, Fort Bend County, Texas",2123,140,576,991,6,400,0,0,10,558,588,558,30,68250,0,115,106,0,31491.90796,26908727.5
48,157,671100,2,"Block Group 2, Census Tract 6711, Fort Bend County, Texas",2134,762,206,1020,0,146,0,0,0,745,772,745,27,59967,0,211,149,0,18648.8044,19217761.36
48,157,671100,3,"Block Group 3, Census Tract 6711, Fort Bend County, Texas",950,197,19,694,0,10,0,0,30,254,308,254,54,77375,0,46,68,0,18688.38595,12980000.23
48,157,671100,4,"Block Group 4, Census Tract 6711, Fort Bend County, Texas",3110,121,2214,541,0,128,0,0,106,1109,1177,1109,68,60949,0,255,437,0,19021.01677,17572622.38
48,157,671200,1,"Block Group 1, Census Tract 6712, Fort Bend County, Texas",4242,570,1696,1634,0,329,0,2,11,1245,1308,1245,63,64648,0,284,337,0,19637.32303,22564818.43
48,157,671200,2,"Block Group 2, Census Tract 6712, Fort Bend County, Texas",2294,60,1854,380,0,0,0,0,0,737,785,737,48,52276,0,105,75,0,16493.43845,13143654.93
48,157,671300,1,"Block Group 1, Census Tract 6713, Fort Bend County, Texas",2675,197,971,1034,0,396,0,0,77,805,850,805,45,46585,0,219,101,0,17793.50087,14013667.8
48,157,671300,2,"Block Group 2, Census Tract 6713, Fort Bend County, Texas",1282,372,346,452,0,104,0,2,6,461,499,461,38,59375,0,59,145,0,19509.41732,13478927.86
48,157,671400,1,"Block Group 1, Census Tract 6714, Fort Bend County, Texas",7180,1204,1811,1060,40,2926,0,35,104,2589,2853,2589,264,65327,0,432,545,0,22231.90313,22413039.54
48,157,671400,2,"Block Group 2, Census Tract 6714, Fort Bend County, Texas",1701,451,354,658,0,174,0,29,35,594,594,594,0,87791,0,76,169,0,19857.06652,13702918.14
48,157,671501,1,"Block Group 1, Census Tract 6715.01, Fort Bend County, Texas",1685,375,213,324,0,767,0,0,6,614,628,614,14,95100,0,76,126,0,15043.4266,10472578.6
48,157,671501,2,"Block Group 2, Census Tract 6715.01, Fort Bend County, Texas",1366,595,57,123,0,564,0,0,27,481,481,481,0,122992,0,100,90,0,11568.27556,7367218.163
48,157,671501,3,"Block Group 3, Census Tract 6715.01, Fort Bend County, Texas",2159,391,835,87,0,842,0,0,4,631,643,631,12,102250,0,119,255,0,19222.02802,15153903.89
48,157,671501,4,"Block Group 4, Census Tract 6715.01, Fort Bend County, Texas",2463,662,921,302,0,578,0,0,0,792,835,792,43,74250,0,121,267,0,18662.70132,13395052.51
48,157,671502,1,"Block Group 1, Census Tract 6715.02, Fort Bend County, Texas",1660,352,481,118,0,595,0,99,15,458,502,458,44,108000,0,70,128,0,20780.20527,19416739.73
48,157,671601,1,"Block Group 1, Census Tract 6716.01, Fort Bend County, Texas",1788,679,177,296,0,600,0,0,36,867,993,867,126,77468,0,226,154,0,12181.65903,5907886.397
48,157,671601,2,"Block Group 2, Census Tract 6716.01, Fort Bend County, Texas",2184,1008,183,155,0,782,0,34,22,778,778,778,0,81681,0,132,273,0,14552.90088,12108321.62
48,157,671601,3,"Block Group 3, Census Tract 6716.01, Fort Bend County, Texas",1248,877,14,139,6,65,0,0,147,438,438,438,0,118162,0,76,185,0,16253.81324,7871662.803
48,157,671601,4,"Block Group 4, Census Tract 6716.01, Fort Bend County, Texas",1570,777,242,54,0,438,0,0,59,531,578,531,47,84479,0,51,208,0,11126.51739,7343192.531
48,157,671602,1,"Block Group 1, Census Tract 6716.02, Fort Bend County, Texas",2037,1062,48,156,0,771,0,0,0,669,676,669,7,107583,0,80,230,0,27203.56942,15189969.94
48,157,671602,2,"Block Group 2, Census Tract 6716.02, Fort Bend County, Texas",1351,797,0,129,0,392,0,0,33,510,510,510,0,118939,0,98,183,0,18833.11703,10442646.37
48,157,671700,1,"Block Group 1, Census Tract 6717, Fort Bend County, Texas",850,446,146,35,0,206,0,0,17,353,394,353,41,117601,0,16,143,0,20825.62781,12021259.17
48,157,671700,2,"Block Group 2, Census Tract 6717, Fort Bend County, Texas",2506,2028,187,104,0,187,0,0,0,969,1037,969,68,138194,0,103,845,0,28213.94372,29451723.65
48,157,671700,3,"Block Group 3, Census Tract 6717, Fort Bend County, Texas",1408,908,212,89,0,156,0,0,43,525,581,525,56,127031,0,134,267,0,25030.78663,26824849.04
48,157,671800,1,"Block Group 1, Census Tract 6718, Fort Bend County, Texas",1496,675,163,308,0,321,0,0,29,475,509,475,34,75402,0,80,243,0,35212.33311,59176806.45
48,157,671800,2,"Block Group 2, Census Tract 6718, Fort Bend County, Texas",1724,429,596,363,5,245,0,25,61,706,756,706,50,55473,0,95,120,0,42029.30727,79230019.41
48,157,671900,1,"Block Group 1, Census Tract 6719, Fort Bend County, Texas",1015,477,0,322,0,180,0,0,36,342,359,342,17,89792,0,47,176,0,11895.92385,5499039.32
48,157,671900,2,"Block Group 2, Census Tract 6719, Fort Bend County, Texas",1321,754,190,185,0,192,0,0,0,535,552,535,17,80417,0,30,377,0,15806.75185,11711502.81
48,157,671900,3,"Block Group 3, Census Tract 6719, Fort Bend County, Texas",1207,654,58,224,0,233,0,0,38,362,362,362,0,86625,1,53,124,1,10685.40207,5993346.243
48,157,672001,1,"Block Group 1, Census Tract 6720.01, Fort Bend County, Texas",2134,436,421,164,0,988,33,0,92,567,601,567,34,91169,0,43,263,0,38058.85177,71240879.29
48,157,672001,2,"Block Group 2, Census Tract 6720.01, Fort Bend County, Texas",2427,665,175,285,0,1295,0,0,7,725,725,725,0,57243,0,70,191,0,15984.45011,13236684.19
48,157,672001,3,"Block Group 3, Census Tract 6720.01, Fort Bend County, Texas",1764,350,259,546,0,598,0,0,11,720,789,720,69,32386,150,110,372,128,16911.31572,10852963.71
48,157,672001,4,"Block Group 4, Census Tract 6720.01, Fort Bend County, Texas",1927,610,191,0,0,1126,0,0,0,565,667,565,102,72599,0,239,125,0,13059.39351,7497678.67
48,157,672002,1,"Block Group 1, Census Tract 6720.02, Fort Bend County, Texas",1607,609,245,457,0,269,0,0,27,890,939,890,49,47363,0,92,145,0,21959.16168,15842432.97
48,157,672002,2,"Block Group 2, Census Tract 6720.02, Fort Bend County, Texas",3698,795,983,464,0,1399,0,0,57,1547,1580,1547,33,55120,0,176,266,0,13110.79801,7274414.773
48,157,672002,3,"Block Group 3, Census Tract 6720.02, Fort Bend County, Texas",844,211,58,17,0,558,0,0,0,345,427,345,82,65483,0,0,142,0,9895.613166,5826189.365
48,157,672100,1,"Block Group 1, Census Tract 6721, Fort Bend County, Texas",2507,1425,47,104,0,768,0,0,163,997,1005,997,8,125104,0,68,638,0,36692.75794,45458369.98
48,157,672100,2,"Block Group 2, Census Tract 6721, Fort Bend County, Texas",1100,811,24,74,0,166,0,0,25,464,498,464,34,116053,0,28,353,0,28434.05716,36379464.87
48,157,672200,1,"Block Group 1, Census Tract 6722, Fort Bend County, Texas",2479,1569,122,562,0,217,0,0,9,901,901,901,0,69792,0,175,301,0,19778.99402,20648859.68
48,157,672200,2,"Block Group 2, Census Tract 6722, Fort Bend County, Texas",896,269,210,399,0,18,0,0,0,336,388,336,52,52500,0,18,189,0,32905.54567,51696351.49
